phrase	n	count	loglik	pages	proper	example	loose_key	head_key
johannes capgravius	2	7	70.79	7	True	Johannes Capgravius	johann capgravi	capgravi
bibliotheca collegii	2	5	70.68	5	False	bibliotheca Collegii	bibliothec collegi	collegi
hermanni contracti	2	3	70.66	3	True	Hermanni Contracti	hermann contract	contract
onuphrius panvinius	2	3	70.66	3	True	Onuphrius Panvinius	onuphri panvini	panvini
polydoro vergilio	2	3	70.66	3	True	Polydoro Vergilio	polydor vergili	vergili
bernardus lutzenburgius	2	3	70.66	3	True	Bernardus Lutzenburgius	bernard lutzenburgi	lutzenburgi
carolus sigonius	2	3	70.66	3	True	Carolus Sigonius	carol sigoni	sigoni
severinus binius	2	3	70.66	3	True	Severinus Binius	severin bini	bini
pelagiana haeresis	2	6	70.3	6	False	Pelagiana haeresis	pelagian haeres	haeres
millia passuum	2	5	69.48	4	False	millia passuum	milli passu	passu
hujus rei	2	7	69.02	7	False	hujus rei	huj re	re
dominum nostrum	2	5	68.71	4	False	Dominum nostrum	domin nostr	nostr
britannia armorica	2	6	68.59	6	True	Britannia Armorica	britanni armoric	armoric
anni ccccxxix	2	5	68.44	5	False	anni CCCCXXIX	ann ccccxxix	ccccxxix
beatitudinem tuam	2	4	68.36	4	False	beatitudinem tuam	beatitudin tu	tu
urbe roma	2	6	68.27	6	False	urbe Roma	urb rom	rom
johanne tinmuthensi	2	4	67.8	4	True	Johanne Tinmuthensi	johann tinmuthens	tinmuthens
renovant ecclesias	2	4	67.8	4	False	renovant ecclesias	renovant ecclesi	ecclesi
romani pontificis	2	5	67.61	5	False	Romani pontificis	roman pontific	pontific
hujus legationis	2	5	66.67	5	False	hujus legationis	huj legation	legation
praeter alios	2	6	66.56	6	False	praeter alios	praeter ali	ali
romano pontifice	2	5	66.54	4	False	Romano pontifice	roman pontific	pontific
videre contigit	2	4	66.4	4	False	videre contigit	vider contigit	contigit
ecclesiasticorum dogmatum	2	4	66.4	4	False	ecclesiasticorum dogmatum	ecclesiastic dogmat	dogmat
asserio menevensi	2	4	66.28	4	True	Asserio Menevensi	asseri menevens	menevens
virgis torquatis	2	3	66.16	3	False	virgis torquatis	virg torquat	torquat
notkerus balbulus	2	3	66.16	3	True	Notkerus Balbulus	notker balbul	balbul
gervasius tillesburiensis	2	3	66.16	3	True	Gervasius Tillesburiensis	gervasi tillesburiens	tillesburiens
massam pulveris	2	3	66.16	2	False	massam pulveris	mass pulver	pulver
adamus bremensis	2	3	66.16	3	True	Adamus Bremensis	adam bremens	bremens
honore sancti	2	7	66.13	7	False	honore sancti	honor sanct	sanct
ecclesiae historiola	2	6	66.07	6	False	ecclesiae historiola	ecclesi historiol	historiol
constantini maximi	2	5	65.96	2	True	Constantini Maximi	constantin maxim	maxim
vetustam ecclesiam	2	5	65.9	5	False	vetustam ecclesiam	vetust ecclesi	ecclesi
historiae britannicae	2	6	65.26	6	False	Historiae Britannicae	histori britannic	britannic
beatae memoriae	2	5	64.59	5	False	beatae memoriae	beat memori	memori
anglico sermone	2	4	64.59	4	False	Anglico sermone	anglic sermon	sermon
vita dubricii	2	6	64.53	6	False	vita Dubricii	vit dubrici	dubrici
dominum sepelivit	2	4	64.36	4	False	Dominum sepelivit	domin sepelivit	sepelivit
legenda aurea	2	4	64.26	4	False	legenda aurea	legend aure	aure
speculo historiali	2	3	63.93	3	False	speculo historiali	specul historial	historial
marianus scotus	2	3	63.93	3	False	Marianus Scotus	marian scot	scot
facundus hermianensis	2	3	63.93	3	True	Facundus Hermianensis	facund hermianens	hermianens
viduitate servanda	2	3	63.93	1	False	viduitate servanda	viduitat servand	servand
posterioris operis	2	5	63.7	5	False	posterioris operis	posterior oper	oper
remissionem peccatorum	2	4	63.5	2	False	remissionem peccatorum	remission peccat	peccat
rem producto	2	4	63.07	4	False	rem producto	r product	product
papa zosimus	2	5	62.91	4	False	papa Zosimus	pap zosim	zosim
ecclesiam wintoniensem	2	5	62.64	3	False	ecclesiam Wintoniensem	ecclesi wintoniens	wintoniens
regis angliae	2	7	62.61	6	False	regis Angliae	reg angli	angli
richardus vitus	2	3	62.34	3	True	Richardus Vitus	richard vit	vit
alphonsus garsias	2	3	62.34	3	True	Alphonsus Garsias	alphons garsi	garsi
radulpho nigro	2	3	62.34	2	True	Radulpho Nigro	radulph nigr	nigr
