head_key	phrase	count	pages	proper	example
confessor	edvardi confessoris	4	4	False	Edvardi confessoris
confessor	legum edvardi confessoris	3	3	False	legum Edvardi confessoris
consentiunt	omnes consentiunt	4	4	False	omnes consentiunt
constantin	divi constantini	4	4	True	Divi Constantini
constantin	natum fuisse constantinum	3	3	False	natum fuisse Constantinum
constantin	patria constantini	5	5	False	patria Constantini
constantin	vita constantini	5	4	False	vita Constantini
consul	plinta consulibus	3	3	False	Plinta consulibus
consul	ter consuli	3	1	False	ter consuli
consulat	aetii consulatum	3	3	False	Aetii consulatum
contigit	videre contigit	4	4	False	videre contigit
contract	hermanni contracti	3	3	True	Hermanni Contracti
convertit	fidem convertit	3	3	False	fidem convertit
cord	campano gramine corda	3	2	False	Campano gramine corda
cornhill	petri in cornhill	4	2	False	Petri in Cornhill
corp	ejus corpus	3	3	False	ejus corpus
cottonian	bibliotheca cottoniana	10	10	False	bibliotheca Cottoniana
cratepoli	petrus cratepolius	4	4	True	Petrus Cratepolius
curiens	ecclesiae curiensis	4	4	False	ecclesiae Curiensis
custodir	facile custodire	4	4	False	facile custodire
custodir	mandata dei facile custodire	3	3	False	mandata Dei facile custodire
damian	faganum et damianum	3	3	False	Faganum et Damianum
damian	fagano et damiano	3	3	False	Fagano et Damiano
dat	successor datus	3	3	False	successor datus
david	sanctus david	4	3	False	sanctus David
david	sancti david	3	3	False	sancti David
de	adjutorium dei	3	2	False	adjutorium Dei
de	adjutorio dei	5	3	False	adjutorio Dei
de	ecclesiae dei	3	3	False	Ecclesiae Dei
de	ecclesiam in honore sanctae dei	3	3	False	ecclesiam in honore sanctae Dei
de	filii dei	3	3	False	filii Dei
de	gratia dei	21	18	False	gratia Dei
de	gratiam dei	17	15	False	gratiam Dei
de	gratiae dei	16	16	False	gratiae Dei
de	honorem dei	3	3	False	honorem Dei
de	honore sanctae dei	3	3	False	honore sanctae Dei
de	solius dei	3	2	False	solius Dei
de	unius dei	4	4	False	unius Dei
de	verbum dei	10	10	False	verbum Dei
de	verbi dei	3	3	False	verbi Dei
de	volente deo	3	3	False	volente Deo
debit	dimitte nobis debita	4	3	False	Dimitte nobis debita
decim	anno decimo	3	3	False	Anno decimo
decim	capite decimo	7	6	False	capite decimo
decuri	nobilis decurio	4	4	False	nobilis decurio
deir	regnum deirorum	3	2	False	Regnum Deirorum
dem	anno demum	4	4	False	Anno demum
dempster	thomas dempsterus	7	7	True	Thomas Dempsterus
deruvian	phaganus et deruvianus	5	3	False	Phaganus et Deruvianus
deruvian	sanctorum phagani et deruviani	3	3	False	sanctorum Phagani et Deruviani
deruvian	sancti phaganus et deruvianus	3	3	False	sancti Phaganus et Deruvianus
dextral	totius dextralis	3	3	False	totius dextralis
di	hodiernum diem	4	4	False	hodiernum diem
diacon	paulus diaconus	4	4	False	Paulus diaconus
dicat	virgineo deo dicatarum	3	2	False	virgineo Deo dicatarum
dicet	radulphus de diceto	4	4	False	Radulphus de Diceto
dicitur	loco qui dicitur	4	3	False	loco qui dicitur
dict	nobis dictum	3	3	False	nobis dictum
diocletian	anno diocletiani	4	4	False	anno Diocletiani
diocletian	persecutionem diocletiani	3	3	False	persecutionem Diocletiani
dixerit	quicunque dixerit	4	2	False	quicunque dixerit
do	annum dom	3	3	False	annum Dom
dogm	christi dogma	3	3	False	Christi dogma
dogm	pelagianum dogma	4	3	False	Pelagianum dogma
dogmat	ecclesiasticorum dogmatum	4	4	False	ecclesiasticorum dogmatum
dogmat	pelagiana dogmata	3	3	False	Pelagiana dogmata
dolens	samson dolensis	3	2	True	Samson Dolensis
domin	anno ab incarnatione domini	14	13	False	anno ab incarnatione Domini
domin	anno domini	29	27	False	anno Domini
domin	annum domini	14	13	False	annum Domini
domin	annum nativitate domini	3	2	False	annum nativitate Domini
domin	anno post passionem domini	4	4	False	anno post passionem Domini
domin	grex domini	3	3	False	grex Domini
domin	incarnatione domini	17	16	False	incarnatione Domini
domin	passionem domini	5	5	False	passionem Domini
du	libros duos	3	3	False	libros duos
dubrici	vita dubricii	6	6	False	vita Dubricii
duc	duodecim duces	3	1	False	duodecim duces
ducit	nos ducit	3	3	False	nos ducit
duob	libris duobus	3	3	False	libris duobus
duvian	fagano et duviano	4	4	False	Fagano et Duviano
duvian	faganum et duvianum	3	3	False	Faganum et Duvianum
eccles	omnium ecclesiarum	3	3	False	omnium ecclesiarum
ecclesi	antiquitate glastoniensis ecclesiae	3	3	False	antiquitate Glastoniensis ecclesiae
ecclesi	carthaginiensis ecclesiae	3	3	False	Carthaginiensis ecclesiae
ecclesi	catholicae ecclesiae	3	2	False	Catholicae Ecclesiae
ecclesi	combustionem ejusdem ecclesiae	3	3	False	combustionem ejusdem ecclesiae
ecclesi	glastoniensis ecclesiae	19	17	False	Glastoniensis ecclesiae
ecclesi	historiolae wintoniensis ecclesiae	3	3	False	historiolae Wintoniensis Ecclesiae
ecclesi	landavensis ecclesiae	6	6	False	Landavensis Ecclesiae
ecclesi	libro quarto de triumphis ecclesiae	3	3	False	libro quarto de triumphis Ecclesiae
ecclesi	matris ecclesiae	3	3	False	matris Ecclesiae
ecclesi	omnes ecclesias	5	4	False	omnes Ecclesias
ecclesi	praedictae ecclesiae	4	4	False	praedictae ecclesiae
ecclesi	primam ecclesiam	4	2	False	primam ecclesiam
ecclesi	renovant ecclesias	4	4	False	renovant ecclesias
ecclesi	romanae ecclesiae	11	10	False	Romanae Ecclesiae
ecclesi	romana ecclesia	5	5	False	Romana Ecclesia
ecclesi	sanctae ecclesiae	3	3	False	sanctae Ecclesiae
ecclesi	sarisburiensis ecclesiae	3	3	False	Sarisburiensis ecclesiae
ecclesi	statu landavensis ecclesiae	5	5	False	statu Landavensis Ecclesiae
ecclesi	totius ecclesiae	3	3	False	totius Ecclesiae
ecclesi	triumphis ecclesiae	7	7	False	triumphis Ecclesiae
ecclesi	urbis ecclesia	3	3	False	urbis ecclesia
ecclesi	vetusta ecclesia	8	5	False	vetusta ecclesia
ecclesi	vetustam ecclesiam	5	5	False	vetustam ecclesiam
ecclesi	wintoniensis ecclesiae	23	19	False	Wintoniensis ecclesiae
ecclesiastic	historiae ecclesiasticae	8	8	False	historiae ecclesiasticae
ecclesiastic	scriptorum ecclesiasticorum	3	2	False	scriptorum ecclesiasticorum
edit	habetur editum	3	3	False	habetur editum
edit	justello edit	3	3	False	Justello edit
edvard	legum edvardi	4	4	False	legum Edvardi
efficeretur	christianus efficeretur	3	2	False	Christianus efficeretur
ej	corpus ejus	4	3	False	corpus ejus
ej	filium ejus	4	4	False	filium ejus
ej	frater ejus	3	3	False	frater ejus
ej	pater ejus	4	4	False	pater ejus
ej	regni ejus	3	3	False	regni ejus
eleutheri	tempore eleutherii	5	5	False	tempore Eleutherii
episcop	africanis episcopis	3	3	False	Africanis episcopis
episcop	arelatensem episcopum	3	3	False	Arelatensem episcopum
episcop	augustinus episcopus	4	3	False	Augustinus episcopus
episcop	aurelii carthaginiensis episcopi	4	4	False	Aurelii Carthaginiensis episcopi
episcop	caesaraugustani episcopi	3	3	False	Caesaraugustani episcopi
episcop	johannes episcopus	3	3	False	Johannes episcopus
episcop	landavensium episcoporum	3	3	False	Landavensium episcoporum
episcop	landavensi episcopo	3	3	False	Landavensi episcopo
episcop	londinensis episcopus	5	5	False	Londinensis episcopus
episcop	omnes episcopos	3	3	False	omnes episcopos
episcop	orientalium episcoporum	3	3	False	orientalium episcoporum
episcop	pii episcopi	3	3	False	Pii episcopi
episcop	romanum episcopum	4	4	False	Romanum episcopum
episcop	romano episcopo	3	3	False	Romano episcopo
episcop	septem episcopis	3	2	False	septem episcopis
episcop	septuaginta episcoporum	4	4	False	septuaginta episcoporum
episcopat	reiensem episcopatum	3	3	False	Reiensem episcopatum
epistol	ctesiphontem epistola	3	2	False	Ctesiphontem epistola
epistol	missa est epistola	3	3	False	missa est epistola
epistol	scripta est epistola	5	5	False	scripta est epistola
equilin	petrus equilinus	6	6	True	Petrus Equilinus
