phrase	n	count	loglik	pages	proper	example	loose_key	head_key
omnibus gentibus	2	2	22.69	2	False	omnibus gentibus	omn gent	gent
capite tertio	2	2	22.69	2	False	capite tertio	capit terti	terti
praedicandum verbum	2	2	22.24	2	False	praedicandum verbum	praedicand verb	verb
scriptum legimus	2	2	22.07	2	False	scriptum legimus	script legim	legim
regnum angliae	2	2	22.07	2	False	regnum Angliae	regn angli	angli
unius dei	2	2	21.19	2	False	unius Dei	uni de	de
hidas terrae	2	2	20.64	2	False	hidas terrae	hid terr	terr
ministerio fidem	2	2	20.57	2	False	ministerio fidem	ministeri fid	fid
sermo ejus	2	2	19.57	1	False	sermo ejus	serm ej	ej
rege arvirago	2	2	19.27	2	False	rege Arvirago	reg arvirag	arvirag
glastoniensis monasterii	2	2	18.8	2	False	Glastoniensis monasterii	glastoniens monasteri	monasteri
monasterii glastoniensis	2	2	18.68	2	False	monasterii Glastoniensis	monasteri glastoniens	glastoniens
fidem convertit	2	2	18.51	2	False	fidem convertit	fid convertit	convertit
duodecim hidas	2	2	18.07	2	False	duodecim hidas	duodeci hid	hid
sancti josephi	2	2	17.85	1	False	Sancti Josephi	sanct joseph	joseph
regis temporibus	2	2	17.37	2	False	regis temporibus	reg tempor	tempor
cujus tempore	2	2	16.99	2	False	cujus tempore	cuj tempor	tempor
adventum christi	2	2	16.81	1	False	adventum Christi	advent christ	christ
duodecim sociis	2	2	15.81	2	False	duodecim sociis	duodeci soci	soci
anno christi	2	3	15.17	2	False	anno Christi	ann christ	christ
ejus corpus	2	2	14.88	2	False	ejus corpus	ej corp	corp
duodecim discipulis	2	2	14.81	2	False	duodecim discipulis	duodeci discipul	discipul
annum domini	2	2	14.35	1	False	annum Domini	ann domin	domin
britanniam duodecim	2	2	14.03	2	False	Britanniam duodecim	britanni duodeci	duodeci
britanniam anno	2	2	12.53	2	False	Britanniam anno	britanni ann	ann
joseph ab arimathia	3	14	None	12	False	Joseph ab Arimathia	joseph ab arimathi	arimathi
anno post passionem	3	5	None	5	False	anno post passionem	ann post passion	passion
anno post passionem domini	4	4	None	4	False	anno post passionem Domini	ann post passion domin	domin
ecclesiam in honore	3	4	None	3	False	ecclesiam in honore	ecclesi in honor	honor
ecclesiam in honore sanctae dei	5	3	None	3	False	ecclesiam in honore sanctae Dei	ecclesi in honor sanct de	de
sanctorum philippi et jacobi	4	3	None	2	False	sanctorum Philippi et Jacobi	sanct philipp et jacob	jacob
petro et paulo	3	3	None	3	False	Petro et Paulo	petr et paul	paul
misit in britanniam	3	3	None	3	False	misit in Britanniam	misit in britanni	britanni
anno ab incarnatione	3	3	None	3	False	anno ab incarnatione	ann ab incarnation	incarnation
honore sanctae dei	3	3	None	3	False	honore sanctae Dei	honor sanct de	de
habetur in bibliotheca	3	3	None	3	False	habetur in bibliotheca	habetur in bibliothec	bibliothec
annum nativitate domini	3	3	None	2	False	annum nativitate Domini	ann nativitat domin	domin
libro de patribus utrius que testamenti	6	2	None	2	False	libro de patribus utrius que Testamenti	libr d patr utri  testament	testament
anno ab incarnatione domini sexagesimo tertio	6	2	None	2	False	anno ab incarnatione Domini sexagesimo tertio	ann ab incarnation domin sexagesim terti	terti
ecclesiam in honore sanctae dei genetricis	6	2	None	2	False	ecclesiam in honore sanctae Dei genetricis	ecclesi in honor sanct de genetric	genetric
alphonso garsia de sancta maria	5	2	None	2	False	Alphonso Garsia de sancta Maria	alphons garsi d sanct mari	mari
omnino praedicationi eorum consentire renuebat	5	2	None	2	False	omnino praedicationi eorum consentire renuebat	omnin praedication  consentir renuebat	renuebat
anno post passionem domini tricesimo	5	2	None	2	False	anno post passionem Domini tricesimo	ann post passion domin tricesim	tricesim
discipuli sanctorum philippi et jacobi	5	2	None	2	False	discipuli sanctorum Philippi et Jacobi	discipul sanct philipp et jacob	jacob
honore sanctae dei genetricis mariae	5	2	None	2	False	honore sanctae Dei genetricis Mariae	honor sanct de genetric mari	mari
construxerunt anno post passionem domini	5	2	None	2	False	construxerunt anno post passionem Domini	construxerunt ann post passion domin	domin
petrus in antiochia praedicavit fidem	5	2	None	2	False	Petrus in Antiochia praedicavit fidem	petr in antiochi praedicavit fid	fid
libro de patribus utrius	4	2	None	2	False	libro de patribus utrius	libr d patr utri	utri
patribus utrius que testamenti	4	2	None	2	False	patribus utrius que Testamenti	patr utri  testament	testament
duodecim ex suis discipulis	4	2	None	2	False	duodecim ex suis discipulis	duodeci ex su discipul	discipul
incarnatione domini sexagesimo tertio	4	2	None	2	False	incarnatione Domini sexagesimo tertio	incarnation domin sexagesim terti	terti
nova audiens et inconsueta	4	2	None	2	False	nova audiens et inconsueta	nov audien et inconsuet	inconsuet
paternas traditiones commutare volebat	4	2	None	2	False	paternas traditiones commutare volebat	patern tradition commutar volebat	volebat
misit in britanniam duodecim	4	2	None	2	False	misit in Britanniam duodecim	misit in britanni duodeci	duodeci
statim post passionem christi	4	2	None	2	False	Statim post passionem Christi	stati post passion christ	christ
joseph fuisset in anglia	4	2	None	2	False	Joseph fuisset in Anglia	joseph fuisset in angli	angli
summo tiberii caesaris	3	2	None	2	False	summo Tiberii Caesaris	summ tiberi caesar	caesar
tempore summo tiberii	3	2	None	2	False	tempore summo Tiberii	tempor summ tiberi	tiberi
diversa cosmi climata	3	2	None	1	False	diversa cosmi climata	divers cosm climat	climat
episcopum paulo ordinatum	3	2	None	2	False	episcopum Paulo ordinatum	episcop paul ordinat	ordinat
jacobi et joannis	3	2	None	1	False	Jacobi et Joannis	jacob et joann	joann
antiquitate glastoniensis ecclesiae	3	2	None	2	False	antiquitate Glastoniensis ecclesiae	antiquitat glastoniens ecclesi	ecclesi
quandam insulam sylvis	3	2	None	2	False	quandam insulam sylvis	quand insul sylv	sylv
virgis torquatis muros	3	2	None	2	False	virgis torquatis muros	virg torquat mur	mur
passionem domini tricesimo	3	2	None	2	False	passionem Domini tricesimo	passion domin tricesim	tricesim
assumptionem gloriosae virginis	3	2	None	2	False	assumptionem gloriosae virginis	assumption glorios virgin	virgin
honore suae matris	3	2	None	2	False	honore suae matris	honor su matr	matr
josephum ab arimathaea	3	2	None	2	False	Josephum ab Arimathaea	joseph ab arimathae	arimathae
mariae ad messanenses	3	2	None	2	False	Mariae ad Messanenses	mari ad messanens	messanens
josepho ab arimathia	3	2	None	1	False	Josepho ab Arimathia	joseph ab arimathi	arimathi
joseph cum sociis	3	2	None	1	False	Joseph cum sociis	joseph c soci	soci
tabula magna glastoniensis	3	2	None	2	False	Tabula magna Glastoniensis	tabul magn glastoniens	glastoniens
filio suo josepho	3	2	None	1	False	filio suo Josepho	fili su joseph	joseph
beato philippo apostolo	3	2	None	2	False	beato Philippo apostolo	beat philipp apostol	apostol
eulogii sui libro	3	2	None	2	False	eulogii sui libro	eulogi su libr	libr
venerunt in britanniam	3	2	None	1	False	venerunt in Britanniam	venerunt in britanni	britanni
discipuli sanctorum philippi	3	2	None	2	False	discipuli sanctorum Philippi	discipul sanct philipp	philipp
gabrielis archangeli admonitionem	3	2	None	2	False	Gabrielis archangeli admonitionem	gabriel archangel admonition	admonition
habet enim secum	3	2	None	1	False	Habet enim secum	habet eni sec	sec
magna glastoniensium tabula	3	2	None	2	False	magna Glastoniensium tabula	magn glastonien tabul	tabul
populos ad fidem	3	2	None	2	False	populos ad fidem	popul ad fid	fid
oratores regis angliae	3	2	None	1	False	oratores regis Angliae	orator reg angli	angli
antiochia praedicavit fidem	3	2	None	2	False	Antiochia praedicavit fidem	antiochi praedicavit fid	fid
josephi ab arimathia	3	2	None	1	False	Josephi ab Arimathia	joseph ab arimathi	arimathi
abbatis et conventus	3	2	None	1	False	abbatis et conventus	abbat et convent	convent
