head_key	phrase	count	pages	proper	example
minor	jacobi minoris	2	2	False	Jacobi minoris
monach	glastoniensium monachorum	3	2	False	Glastoniensium monachorum
monasteri	dicti monasterii	2	2	False	dicti monasterii
monasteri	glastoniensis monasterii	2	2	False	Glastoniensis monasterii
mur	virgis torquatis muros	2	2	False	virgis torquatis muros
nobilissim	insulam nobilissimam	2	1	False	insulam nobilissimam
ordinat	episcopum paulo ordinatum	2	2	False	episcopum Paulo ordinatum
pagan	reges pagani	2	2	False	reges pagani
passion	anno post passionem	5	5	False	anno post passionem
paul	petro et paulo	3	3	False	Petro et Paulo
philipp	beato philippo	3	2	False	beato Philippo
philipp	discipuli sanctorum philippi	2	2	False	discipuli sanctorum Philippi
philipp	sanctorum philippi	3	2	False	sanctorum Philippi
pietat	christianae pietatis	2	2	False	Christianae pietatis
praedication	omnino praedicationi	2	2	False	omnino praedicationi
providenti	divina providentia	2	2	False	divina providentia
quint	decimo quinto	2	2	False	decimo quinto
reg	anglorum regis	3	3	False	Anglorum regis
reg	lucii regis	2	2	False	Lucii regis
renuebat	consentire renuebat	2	2	False	consentire renuebat
renuebat	omnino praedicationi eorum consentire renuebat	2	2	False	omnino praedicationi eorum consentire renuebat
sec	habet enim secum	2	1	False	Habet enim secum
secund	libro secundo	5	5	False	libro secundo
sepelivit	christum sepelivit	3	2	False	Christum sepelivit
sepelivit	dominum sepelivit	4	4	False	Dominum sepelivit
soci	duodecim sociis	2	2	False	duodecim sociis
soci	joseph cum sociis	2	1	False	Joseph cum sociis
subiit	martyrium subiit	2	2	False	martyrium subiit
sylv	quandam insulam sylvis	2	2	False	quandam insulam sylvis
tabul	magna glastoniensium tabula	2	2	False	magna Glastoniensium tabula
tempor	cujus tempore	2	2	False	cujus tempore
tempor	longo tempore	2	2	False	longo tempore
tempor	regis temporibus	2	2	False	regis temporibus
terr	hidas terrae	2	2	False	hidas terrae
terr	orbi terrarum	2	1	False	orbi terrarum
terr	portiones terrae	2	1	False	portiones terrae
terti	anno ab incarnatione domini sexagesimo tertio	2	2	False	anno ab incarnatione Domini sexagesimo tertio
terti	capite tertio	2	2	False	capite tertio
terti	incarnatione domini sexagesimo tertio	2	2	False	incarnatione Domini sexagesimo tertio
testament	libro de patribus utrius que testamenti	2	2	False	libro de patribus utrius que Testamenti
testament	patribus utrius que testamenti	2	2	False	patribus utrius que Testamenti
tiberi	summo tiberii	3	3	False	summo Tiberii
tiberi	tempore summo tiberii	2	2	False	tempore summo Tiberii
tinmuthens	johannes tinmuthensis	2	2	True	Johannes Tinmuthensis
torquat	virgis torquatis	3	3	False	virgis torquatis
tricesim	anno post passionem domini tricesimo	2	2	False	anno post passionem Domini tricesimo
tricesim	passionem domini tricesimo	2	2	False	passionem Domini tricesimo
ull	absque ullo	3	3	False	absque ullo
univers	mundum universum	2	2	False	mundum universum
utri	libro de patribus utrius	2	2	False	libro de patribus utrius
utri	patribus utrius	2	2	False	patribus utrius
verb	praedicandum verbum	2	2	False	praedicandum verbum
virgin	assumptionem gloriosae virginis	2	2	False	assumptionem gloriosae virginis
virgin	beatae virginis	4	4	False	beatae virginis
virgin	gloriosae virginis	3	3	False	gloriosae virginis
vit	verbum vitae	2	2	False	verbum vitae
volebat	paternas traditiones commutare volebat	2	2	False	paternas traditiones commutare volebat
