page_id,source,char_count,greek_chars,greek_ratio,juridical_hits,juridical_per_kchar,body_segment_count,footnote_segment_count,uncertain_body_count,uncertain_rate,score,sample_juridical_terms
p0036,segments,1756,375,0.2136,1,0.5695,37,1,0,0.0,22.5329,patriarchæ
p0001,raw_ocr,4076,345,0.0846,4,0.9814,0,0,0,0.0,9.8609,"conſtitutae, edictum, Eccleſiaſticae, Eccleſias"
